"","lhs","","rhs","support","confidence","lift"
"[4]10","{toothed=TRUE}","=>","{hair=TRUE}",0.376237623762376,0.622950819672131,1.46321006481128
"[1]39","{eggs=TRUE,toothed=TRUE}","=>","{hair=FALSE}",0.198019801980198,1,1.74137931034483
"[2]34","{milk=FALSE,toothed=TRUE}","=>","{hair=FALSE}",0.207920792079208,1,1.74137931034483
"[1]129","{eggs=TRUE,toothed=TRUE}","=>","{hair=FALSE}",0.198019801980198,1,1.74137931034483
"[2]125","{milk=FALSE,toothed=TRUE}","=>","{hair=FALSE}",0.207920792079208,1,1.74137931034483
"[1]40","{milk=FALSE,backbone=TRUE}","=>","{hair=FALSE}",0.415841584158416,1,1.74137931034483
"[2]35","{eggs=TRUE,backbone=TRUE}","=>","{hair=FALSE}",0.405940594059406,0.976190476190476,1.69991789819376
"[3]26","{toothed=FALSE,backbone=TRUE}","=>","{hair=FALSE}",0.207920792079208,0.954545454545455,1.66222570532915
"[4]18","{airborne=TRUE,backbone=TRUE}","=>","{hair=FALSE}",0.158415841584158,0.888888888888889,1.54789272030651
"[5]19","{backbone=TRUE,catsize=FALSE}","=>","{hair=FALSE}",0.306930693069307,0.775,1.34956896551724
"[1]130","{milk=FALSE,backbone=TRUE}","=>","{hair=FALSE}",0.415841584158416,1,1.74137931034483
"[2]126","{eggs=TRUE,backbone=TRUE}","=>","{hair=FALSE}",0.405940594059406,0.976190476190476,1.69991789819376
"[3]114","{toothed=FALSE,backbone=TRUE}","=>","{hair=FALSE}",0.207920792079208,0.954545454545455,1.66222570532915
"[4]19","{airborne=TRUE,backbone=TRUE}","=>","{hair=FALSE}",0.158415841584158,0.888888888888889,1.54789272030651
"[5]110","{backbone=TRUE,catsize=FALSE}","=>","{hair=FALSE}",0.306930693069307,0.775,1.34956896551724
"[1]41","{milk=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.514851485148515,0.945454545454545,1.64639498432602
"[2]36","{eggs=TRUE,domestic=FALSE}","=>","{hair=FALSE}",0.495049504950495,0.925925925925926,1.61238825031928
"[3]27","{toothed=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.316831683168317,0.888888888888889,1.54789272030651
"[4]20","{domestic=FALSE,catsize=FALSE}","=>","{hair=FALSE}",0.396039603960396,0.8,1.39310344827586
"[5]20","{tail=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.158415841584158,0.695652173913043,1.21139430284858
"[1]131","{milk=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.514851485148515,0.945454545454545,1.64639498432602
"[2]127","{eggs=TRUE,domestic=FALSE}","=>","{hair=FALSE}",0.495049504950495,0.925925925925926,1.61238825031928
"[3]115","{toothed=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.316831683168317,0.888888888888889,1.54789272030651
"[4]110","{domestic=FALSE,catsize=FALSE}","=>","{hair=FALSE}",0.396039603960396,0.8,1.39310344827586
"[5]111","{tail=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.158415841584158,0.695652173913043,1.21139430284858
"[4]21","{toothed=TRUE}","=>","{hair=TRUE}",0.376237623762376,0.622950819672131,1.46321006481128
"[1]42","{eggs=TRUE,toothed=TRUE}","=>","{hair=FALSE}",0.198019801980198,1,1.74137931034483
